Time (ms),Spikeling Vm (mV),Stimulus (%),Total Current Input (a.u.),Synapse 1 Vm (mV),Synapse 1 Input (a.u.),Synapse 2 Vm (mV),Synapse 2 Input (a.u.),Trigger
17.3,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
17.4,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
17.5,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
17.6,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
17.7,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
17.8,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
17.9,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
18.0,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
18.1,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
18.2,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
18.3,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
18.4,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
18.5,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
18.6,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
18.7,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
18.8,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
18.9,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
19.0,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
19.1,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
19.2,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
19.3,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
19.4,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
19.5,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
19.6,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
19.7,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
19.8,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
19.9,-70.0,0.0,0.0,-113.0,0.0,-113.0,0.0,0.0
20.0,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
20.1,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
20.2,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
20.3,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
20.4,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
20.5,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
20.6,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
20.7,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
20.8,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
20.9,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
21.0,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
21.1,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
21.2,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
21.3,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
21.4,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
21.5,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
21.6,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
21.7,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
21.8,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
21.9,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
22.0,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
22.1,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
22.2,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
22.3,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
22.4,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
22.5,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
22.6,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
22.7,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
22.8,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
22.9,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
23.0,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
23.1,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
23.2,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
23.3,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
23.4,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
23.5,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
23.6,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
23.7,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
23.8,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
23.9,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
24.0,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
24.1,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
24.2,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
24.3,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
24.4,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
24.5,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
24.6,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
24.7,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
24.8,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
24.9,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
25.0,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
25.1,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
25.2,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
25.3,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
25.4,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
25.5,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
25.6,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
25.7,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
25.8,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
25.9,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
26.0,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
26.1,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
26.2,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
26.3,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
26.4,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
26.5,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
